half_day_key,prev_num_articles_ma1_10,prev_extremely_positive_count_ma1_5,prev_atr_lag9,prev_macd_signal_lag4,prev_rsi_ma5,prev_bb_lower_lag10,prev_quote_volume_ma8,prev_macd_hist_std8_ma,prev_williams_r_ma7,volume_prev_ma10,prev_quote_volume_ma7,prev_close_ma5,prev_avg_sentiment_std1_6_ma,prev_macd_hist_std7_ma,prev_extremely_positive_count_ma1_4,prev_extremely_negative_count_lag5,prev_taker_buy_base_volume_std7_ma,avg_sentiment_news_prev_std5_ma,2_periods_back_back_change_pct,2_periods_back_back_change_pct_lag1,2_periods_back_back_change_pct_lag4,prev_avg_sentiment_lag4,prev_min_sentiment_lag10,2_periods_back_back_change_pct_lag8,prev_std_sentiment_lag1,prev_min_sentiment_lag1,prev_std_sentiment_lag3,prev_rsi_std2_ma,prev_taker_buy_quote_volume_lag10,prev_median_sentiment_lag8,,Indicator
2024-03-21_H2,26.1,8.6,2834.218378,1338.827923,43.87971314,65240.82471,2383247307,211.7352008,-70.38078245,1642781692,2520741617,64648.364,0.720031588,165.693024,10.25,0,5523.603595,1.193739662,-0.011929741,0.070854369,-0.067507733,-0.386666667,-1.96,0.024919343,2.441241728,-4.73,2.834845479,4.685086752,684765141.9,0.22,,0
2024-03-22_H1,27.5,11.4,2844.774208,1031.61721,45.55196629,65065.76447,2446759632,193.9779607,-70.33212181,1643921711,2564565242,65137.952,0.616066739,175.0535124,10.25,6,5285.857191,1.10753746,-0.023185853,-0.011929741,-0.017784995,0.681458333,-4.69,0.022091803,2.529887481,-4.62,3.11255109,1.912065944,1161966370,3.45,,0
2024-03-22_H2,29.4,9.8,2817.824622,733.8965254,47.12068374,65074.22875,2409904343,190.9348645,-70.08348073,1613730797,2447582456,65601.046,0.412859001,195.8107539,10.75,8,5654.185498,1.039494823,-0.019142898,-0.023185853,0.023309533,0.862,-3.76,-0.002180812,2.722394566,-4.79,2.441241728,2.212116358,973259240,0.935,,0
2024-03-23_H1,34.1,12,2770.551435,527.0166995,47.57887161,65297.96343,2389535140,204.1689163,-66.15635053,1687234984,2230828094,65690.956,0.411615698,221.9376059,12.5,4,5724.199614,1.01747951,-0.006576951,-0.019142898,0.070854369,0.327058824,-0.01,-0.008882457,3.107765856,-4.63,2.529887481,1.297036239,718820378.3,1.385,,1
2024-03-23_H2,33.6,11,2719.984189,374.010117,46.23344304,65364.11487,2052024951,222.3347664,-59.87235771,1660690765,1918839732,65046.962,0.408816881,237.7325669,11.5,8,5872.619557,1.038120959,0.012854571,-0.006576951,-0.011929741,0.7816,-4.76,-0.067507733,2.475481092,-4.72,2.722394566,1.16166864,819078124.9,0.08,,0
2024-03-24_H1,31.8,10.6,2927.064604,237.3252968,44.96105621,65294.686,1792203418,234.0151106,-57.1347014,1552013504,1675830501,64438.29,0.526510999,233.0054968,9.25,3,6001.682258,1.0929999,-0.00979171,0.012854571,-0.023185853,1.462647059,-0.65,-0.017784995,3.066555112,-4.73,3.107765856,1.367592414,1111648441,0.525,,1
2024-03-24_H2,30.6,7.8,3018.05999,97.27482463,45.17268618,64193.46848,1547946113,234.2838248,-56.93683149,1369876786,1317230385,64405.768,0.553334791,222.7621448,7.75,4,5715.810091,1.029682837,0.020720288,-0.00979171,-0.019142898,0.366153846,-4.6,0.023309533,1.994023373,-2.65,2.475481092,1.914239509,1635912549,0.51,,1
2024-03-25_H1,27.2,7.4,3029.822848,-44.74143272,46.91665987,62945.11375,1328396280,235.8007896,-52.99759697,1190964110,1286404691,64999.536,0.634840532,215.4613723,5,7,5473.077546,0.898208872,0.02874181,0.020720288,-0.006576951,0.761076923,-4.81,0.070854369,2.879297272,-4.06,3.066555112,3.120106084,1459346333,0.34,,0
2024-03-25_H2,27.6,5.4,3247.549787,-167.1533951,48.62132077,62154.32679,1249838227,238.4582417,-47.81672409,1100874126,1152831440,65602.872,0.633624603,210.4968925,5.5,9,5221.461701,0.801020125,-0.005574607,0.02874181,0.012854571,0.705384615,-3.71,-0.011929741,2.109161205,-2.6,1.994023373,2.143227456,1279978267,0.46,,1
2024-03-26_H1,28.1,8.2,3170.458374,-280.6843554,51.29849887,62084.68974,1344488897,246.922921,-40.28353879,1062733870,1346947589,66653.858,0.589488849,213.3903342,8.5,2,5106.18044,0.70778378,0.045764208,-0.005574607,-0.00979171,1.7635,-4.73,-0.023185853,1.679352597,-1.12,2.879297272,2.950348233,1627243797,1.56,,1
